"repo","commit","insertion","deletion"
"MetaAnalyser","23","3152","663"
"metaBMA","35","5839","2403"
"MetabolicSurv","33","6944","1045"
"metacoder","113","1274707","46094"
"MetaComp","331","155237","36022"
"metafolio","574","235953","182544"
"metafor","377","135880","24120"
"metagen","23","4078","359"
"MetaLonDA","117","5837","2611"
"MetaPCA","21","1717","316"
"metaplotr","35","1966","284"
"metaRMST","64","1086","220"
"metaSEM","222","41582","16276"
"metasens","40","9583","3196"
"MetaStan","27","9606","2617"
"metaviz","50","8413","3308"
"meteoForecast","194","6479","2920"
"meteR","254","16394","6555"
"metR","548","1508188","1384400"
"Metrics","307","8064","5675"
"metricsgraphics","85","76470","33243"
"metricTester","179","53355","29340"
"mets","1625","303264","171021"
"metScanR","78","1247","326"
"metsyn","7","5633","510"
"mev","120","60707","33180"
"mfbvar","173","24382","13047"
"mfe","189","21851","16651"
"mfGARCH","171","184445","29224"
"MFPCA","442","24328","8714"
"mgarchBEKK","19","3725","64"
"mgc","157","11842","4354"
"mgcViz","337","67579","10766"
"MGRASTer","40","3996","2632"
"mhsmm","28","20702","1285"
"MIAmaxent","442","21230","8963"
"mice","800","178449","92568"
"miceadds","62","48515","20739"
"miceExt","36","6082","1348"
"miceFast","12","7359","3272"
"microbats","1","694","0"
"microbenchmark","139","10044","2250"
"microdemic","72","3563","1417"
"microsynth","121","21845","17751"
"midasr","491","25542","11543"
"migest","48","11730","3123"
"migration.indices","56","3332","1356"
"MIIVsem","198","21451","12183"
"milr","149","6294","3514"
"mime","69","1349","147"
"mindr","50","16813","2308"
"miniCRAN","452","24500","11779"
"minimap","22","1232","328"
"minimist","3","203","8"
"minval","481","26750","9190"
"mipfp","19","9345","1961"
"mirt","2524","173131","124629"
"mirtCAT","461","22584","7424"
"mirtjml","25","1287","137"
"misaem","31","4298","2524"
"miscset","296","9940","3078"
"missForest","37","4707","1729"
"missMDA","4","3393","3"
"MittagLeffleR","68","8217","2504"
"mixchar","346","264682","41776"
"MixfMRI","9","15526","405"
"mixggm","6","13765","1723"
"MixRF","34","2077","845"
"mize","348","27765","9151"
"mknapsack","59","2185","434"
"MlBayesOpt","191","7955","2040"
"mldr","379","8780","3661"
"mldr.datasets","297","7600","2253"
"mleap","99","2026","410"
"mlflow","541","217170","44884"
"MLID","72","8220","5493"
"mljar","130","3578","1048"
"MLmetrics","15","2608","402"
"MLML2R","161","24798","5078"
"mlPhaser","13","1756","216"
"MLPUGS","24","2615","987"
"mlr","4271","648413","346822"
"mlrCPO","1388","167927","61915"
"mlrMBO","1536","364533","92708"
"mlsjunkgen","24","4362","606"
"mltools","162","4648","1149"
"mmand","256","43922","2525"
"mmapcharr","31","468822","467109"
"mmod","173","51742","36989"
"mobsim","122","13271","6362"
"mockery","125","3003","1129"
"mockr","74","1097","380"
"modeest","16","9430","4611"
"modeldb","90","6939","3689"
"modelgrid","68","6614","3301"
"modelr","154","29971","1228"
"moderndive","178","45717","5878"
"modi","38","7894","1995"
"MODIS","269","32449","20146"
"MODISSnow","47","1023","273"
"MODISTools","105","17798","5136"
"modmarg","356","8297","4539"
"modules","128","7324","3651"
"MOEADr","245","71114","7914"
"moko","39","6644","1812"
"Momocs","1621","292992","129438"
"Mondrian","30","553","142"
"MonetDBLite","217","440754","12168"
"mongolite","634","190225","94546"
"monkeylearn","280","15031","6823"
"monotonicity","63","2571","454"
"MonteCarlo","45","4765","1514"
"moonBook","49","7797","2623"
"mopa","91","41706","12884"
"morgenstemning","29","701","78"
"Morpho","1553","111207","84132"
"MortalityGaps","43","4129","1320"
"MortalityLaws","151","23565","12394"
"mosaic","2837","403887","81734"
"mosaicCalc","2492","356627","230453"
"mosaicCore","89","5778","717"
"mountainplot","14","2652","1033"
"mousetrap","438","52869","16009"
"moveHMM","572","24270","12183"
"mplot","221","348943","57337"
"MplusAutomation","259","293961","51707"
"mpoly","241","70250","5940"
"mppR","178","41866","32693"
"MPTmultiverse","164","10366","4988"
"mptools","143","107544","11743"
"mregions","131","5871","2355"
"MRFcov","154","17910","10418"
"mrfDepth","50","19112","431"
"mrgsolve","1561","265731","65892"
"msaenet","111","20802","5398"
"MSbox","154","6016","4681"
"mschart","97","13461","3499"
"mscstexta4r","16","5926","560"
"mscstts","25","2046","217"
"mscsweblm4r","28","5394","1397"
"msda","30","2890","1484"
"MSGARCH","311","36471","18688"
"msgl","170","11285","5066"
"msigdbr","19","993","259"
"msm","40","40499","334"
"msmtools","123","9208","3221"
"msos","23","4914","1124"
"MTA","31","12136","9542"
"mthapower","58","4695","1103"
"MTLR","129","5959","1505"
"MTSYS","17","7167","2315"
"MTurkR","540","34487","23833"
"MTurkRGUI","20","6888","3259"
"muckrock","4","438","19"
"mudfold","3","3460","1113"
"muir","37","2537","1129"
"multdyn","207","5363","2212"
"multgee","45","10452","1683"
"multicolor","153","3417","1606"
"multifwf","24","1852","181"
"multigraph","207","13233","5778"
"multilevelPSA","142","189628","22047"
"multinets","60","2996","400"
"multiplex","83","26845","13268"
"MultisiteMediation","9","3928","903"
"multitaper","158","9959","1089"
"mumm","32","1689","540"
"munfold","24","1163","48"
"munsell","124","27777","2299"
"mutoss","189","43351","10600"
"mvcwt","15","1740","739"
"mvinfluence","35","2096","236"
"MVLM","37","2485","660"
"mvMISE","21","1895","466"
"mvMonitoring","242","73056","25459"
"mvMORPH","95","37423","5724"
"MVNBayesian","31","4001","299"
"mvnfast","56","10628","2964"
"mvp","195","15375","1122"
"mvPot","54","4438","1031"
"mvQuad","5","2868","18"
"MVR","145","10832","3662"
"mvtboost","346","15561","9249"
"mvtsplot","20","1158","753"
"mwaved","126","25556","10242"
"Myrrix","29","1558","262"
"Myrrixjars","29","1558","262"
"myTAI","1034","56822","15334"
"mztwinreg","2","483","0"
"n1qn1","33","4687","215"
"na.tools","19","6709","544"
"nabor","170","4756","1642"
"nadiv","524","58250","11900"
"naivebayes","20","788","74"
"nandb","156","124905","16353"
"naniar","735","134864","63976"
"naptime","92","1875","937"
"nardl","47","4055","655"
"narray","244","5814","3153"
"nasapower","1189","10640002","26364"
"nasaweather","17","3223","27"
"nat","2226","169854","65348"
"nat.templatebrains","268","9870","1975"
"natserv","54","8810","532"
"NatureSounds","9","4356","1646"
"ncdump","71","13108","9700"
"ncmeta","116","14564","2122"
"ncpen","121","13504","4805"
"NCutYX","207","16607","8481"
"ncvreg","157","13861","7481"
"ndtv","145","94746","50090"
"neatmaps","51","5545","4204"
"needs","32","1442","681"
"negenes","35","2018","780"
"neo4r","89","9295","4235"
"neotoma","790","103101","60685"
"nesRdata","42","2779","1158"
"nestedRanksTest","103","5860","2810"
"nestfs","227","7585","3190"
"net.security","331","13898","8682"
"netcom","50","1592","679"
"netdiffuseR","338","201367","129752"
"netgen","242","13848","3993"
"NetLogoR","782","124323","43689"
"netmeta","255","48877","19752"
"netrankr","365","43717","6814"
"nets","95","6234","4882"
"NetworkDistance","24","4885","1157"
"networkTomography","119","31406","9470"
"neuralnet","51","6755","3800"
"neuropsychology","341","140094","130628"
"neutralitytestr","42","17279","1018"
"neverhpfilter","261","14476","5484"
"newsmap","190","7978","3970"
"NFP","46","20138","12869"
"ngram","307","30798","12135"
"ngramrr","20","744","119"
"ngstk","73","166957","77863"
"nhdR","267","21883","3119"
"nima","137","13951","4674"
"nipals","19","4408","1729"
"NitrogenUptake2016","100","29443","18555"
"nlaR","64","4245","760"
"nlgeocoder","214","48398","1375"
"nlmixr","1018","411679","110766"
"nlstimedist","103","3535","1584"
"NlsyLinks","249","1434905","568900"
"nLTT","262","20291","7478"
"nmaINLA","38","14049","2059"
"NMAoutlier","54","5897","2219"
"NMF","476","634887","148039"
"nmfgpu4R","15","4280","890"
"Nmisc","211","5996","3594"
"nmixgof","12","1193","380"
"nmslibR","5","3404","715"
"NNLM","139","11817","3780"
"nnTensor","19","1838","434"
"noaastormevents","263","159724","7223"
"nodbi","112","4439","1786"
"nodiv","150","13247","8872"
"nofrills","194","3845","1873"
"nomisr","181","27887","10886"
"nonlinearICP","44","5463","1559"
"nonlinearTseries","105","47549","26534"
"normalr","33","838","169"
"NORTARA","1","1953","0"
"nos","31","1785","283"
"notifyme","44","1057","160"
"nowcasting","105","12963","8576"
"Nozzle.R1","51","80788","66695"
"np","979","126964","38794"
"npExact","25","6038","2066"
"nplr","130","7008","5174"
"npmlda","11","10233","80"
"npsp","21","35603","5711"
"nsapi","23","7614","1061"
"nscprepr","15","770","272"
"nse","45","4451","1530"
"NSO1212","6","1547","243"
"nucim","248","32306","14759"
"NUCOMBog","218","108400","8521"
"nullabor","171","25091","12490"
"oai","174","6116","2203"
"oak","4","4111","70"
"obAnalytics","124","981236","975945"
"Observation","50","3775","773"
"observer","6","1320","150"
"oce","7936","1708659","418542"
"ocedata","162","29440","2552"
"odbc","816","46736","23203"
"oddsratio","381","31525","4566"
"odeintr","237","710536","702649"
"ODEnetwork","188","7105","2854"
"ODEsensitivity","234","24583","11263"
"ODS","15","3381","87"
"oem","315","362627","326730"
"officer","505","68326","28322"
"ofGEM","6","741","120"
"OHPL","69","10486","1227"
"ohtadstats","77","2962","1425"
"OLScurve","55","3743","1895"
"olsrr","482","114992","46692"
"ompr","425","67931","12900"
"ompr.roi","74","1959","537"
"omu","98","7512","3284"
"OneR","148","3002","831"
"onnx","52","6381","1955"
"OOBCurve","41","930","325"
"openadds","63","3032","1442"
"openair","713","145635","71366"
"opencage","130","10204","3682"
"opencpu","890","37014","20244"
"OpenImageR","124","38179","21669"
"OpenML","1314","108791","31967"
"OpenMx","7470","798453","461773"
"OpenRepGrid","128","265099","9683"
"openssl","613","89717","77135"
"openSTARS","209","23303","11429"
"openVA","93","8525","817"
"openxlsx","725","70877","27786"
"operator.tools","49","2908","1226"
"operators","15","1500","320"
"optband","18","4860","944"
"opticut","839","31939","12182"
"optigrab","94","9412","5361"
"OptimClassifier","34","3853","454"
"optimus","122","12912","1415"
"optiRum","161","15309","4500"
"optparse","115","4152","1470"
"Orcs","106","6917","2355"
"ordering","16","1781","885"
"ordinal","43","30318","5479"
"ore","228","131321","36606"
"ores","19","1038","332"
"OrgMassSpecR","20","5442","786"
"originr","65","2832","724"
"orthogonalsplinebasis","27","1159","484"
"oshka","153","7149","3703"
"osmdata","984","191073","29010"
"osmplotr","476","45705","25119"
"OSMscale","159","4125","1588"
"osrm","129","21078","5887"
"OSTSC","19","10565","3878"
"otuSummary","107","2201","456"
"otvPlots","259","32829","19185"
"ouch","130","15060","2484"
"outbreaks","171","12266","3815"
"outreg","36","2362","569"
"overture","39","2297","309"
"owmr","320","118859","2701"
"ows4R","128","12311","1831"
"oXim","81","5276","2707"
"packagedocs","413","13287","4116"
"packagefinder","7","1108","1"
"packcircles","60","4481","1159"
"packrat","1412","29445","13442"
"pacman","450","76272","44408"
"pact","10","4438","1412"
"padr","454","21239","14619"
"PAFit","165","36741","21222"
"pagedown","179","35824","2472"
"pagenum","6","1217","586"
"pageviews","68","1859","692"
"pairsD3","46","3299","311"
"PakPC2017","23","7302","2837"
"PakPMICS2014Ch","2","2249","5"
"PakPMICS2014HH","25","11772","7871"
"PakPMICS2014HL","26","11883","8303"
"PakPMICS2014Wm","26","12668","8408"
"paleobioDB","250","52064","43253"
"paleomorph","175","7328","3481"
"paletteer","67","8646","1901"
"palettesForR","8","1456","13"
"palettetown","88","1286","363"
"palm","349","11102","5384"
"palr","72","12352","693"
"pals","33","71612","11501"
"pamm","14","3405","1597"
"pammtools","626","102402","38283"
"pander","1249","46560","25135"
"pandocfilters","146","4063","890"
"pangaear","234","13398","3785"
"PANICr","46","9358","5258"
"papayar","1058","916523","350944"
"papeR","217","15155","5262"
"parallelDist","42","4983","809"
"ParallelLogger","23","14496","1828"
"parallelMap","298","7140","4036"
"ParamHelpers","634","24970","11976"
"params","69","2865","1236"
"ParBayesianOptimization","13","2922","449"
"parmsurvfit","22","2892","945"
"parsedate","72","3703","661"
"parsemsf","58","2185","1165"
"parsetools","113","28878","7949"
"particles","95","6135","704"
"partitionComparison","13","5213","301"
"partools","415","64513","2935"
"partsm","14","7902","181"
"passport","50","10407","4771"
"pastecs","35","10029","1293"
"patchSynctex","13","694","240"
"patentsview","292","111478","40880"
"pathmapping","14","5192","112"
"patternator","2","35","0"
"patternize","172","18111","10259"
"pbapply","1289","94936","57155"
"pbivnorm","12","779","50"
"pbm","24","628","91"
"pbmcapply","86","2102","1277"
"pbo","41","6009","3912"
"PBSddesolve","30","3778","707"
"PBSmapping","85","107421","49881"
"PBSmodelling","216","89571","35212"
"pbv","7","1136","105"
"pcaBootPlot","14","1313","346"
"PCADSC","165","186952","55104"
"pccc","157","1310427","4742"
"pcev","158","61041","28357"
"pcIRT","37","6646","3209"
"PCMBase","201","70617","27907"
"pcr","85","11296","6122"
"pcrcoal","50","5975143","10134"
"PCSinR","21","1915","100"
"pdfetch","25","1891","590"
"pdfsearch","116","2520","591"
"pdftools","214","12569","1186"
"pdist","31","474","184"
"pdp","589","234605","161342"
"PDQutils","65","8402","2767"
"pdSpecEst","186","52235","41958"
"peakRAM","19","409","65"
"PedCNV","14","3357","1688"
"pedigreeTools","176","20478","722"
"pedometrics","398","22168","14324"
"PeerPerformance","41","8395","3523"
"pense","398","39713","17607"
"peptider","100","3967","2469"
"Peptides","413","168848","5368"
"PerformanceAnalytics","2174","259842","105662"
"performanceEstimation","186","64137","26652"
"pergola","31","4516","1328"
"permDep","18","2264","609"
"permute","446","15171","4775"
"personalized","562","35373","12498"
"personograph","103","5068","1343"
"petro.One","363","2802439","1232587"
"pgee.mixed","12","3737","668"
"PGRdup","42","27093","4004"
"pgsc","25","2962","1105"
"phangorn","1386","101221","43623"
"phaseR","166","17550","2997"
"phenomap","266","23182","476"
"PhenotypeSimulator","291","49140","14352"
"phia","43","58886","329"
"philentropy","718","39704","10487"
"phonenumber","41","3486","538"
"phonics","189","9928","4261"
"phonR","366","24059","10398"
"phyclust","49","62077","2654"
"phylin","16","3294","174"
"phylobase","897","736486","40973"
"phylocanvas","83","30375","1111"
"phylocomr","138","25622","2220"
"PhylogeneticEM","740","119269","43525"
"phylogram","85","41489","18130"
"phylopath","200","25584","15420"
"phylosim","770","1367796","753245"
"phylotaR","406","256351","205439"
"phylotools","20","11732","4494"
"physiology","166","18186","5445"
"phytools","607","26978","4126"
"piecewiseSEM","915","51419","12949"
"piggyback","180","14935","4930"
"pillar","416","87701","25002"
"pinbasic","59","8227","2411"
"pingers","12","2783","220"
"pingr","51","1980","1064"
"pinnacle.API","237","17948","4644"
"pinnacle.data","54","708","272"
"pinyin","32","226394","69653"
"pipeliner","35","3771","771"
"pipeR","336","9828","5647"
"pitchRx","183","18885","15791"
"piton","15","8515","127"
"pivotaltrackR","21","1644","191"
"pivottabler","260","45483","16604"
"pixels","16","1136","298"
"pixiedust","318","66813","33234"
"pkgbuild","137","4193","1135"
"pkgcache","120","23553","10741"
"pkgcond","18","3272","695"
"pkgconfig","71","1628","799"
"pkgcopier","27","469","208"
"pkgdown","1311","96574","81645"
"pkggraph","20","11885","1347"
"pkgload","938","18680","8513"
"pkgmaker","321","34788","11820"
"pkgnet","404","42059","22652"
"pkgsearch","49","2878","1495"
"PKNCA","287","55776","19623"
"PKPDmisc","509","52252","28298"
"pksensi","240","8270","3664"
"plac","50","5408","3106"
"PlackettLuce","297","34398","16845"
"plan","77","8312","5109"
"planar","163","1621647","1592587"
"plater","279","13626","5655"
"platetools","87","23789","19523"
"pleiades","73","3690","1088"
"plinkQC","155","513015","138793"
"plogr","417","8145","4796"
"plotluck","58","10527","5600"
"plotlyGeoAssets","8","266","55"
"plotROC","111","17293","8814"
"plotSEMM","97","28335","2074"
"pls","187","13226","3323"
"plsdof","9","12328","274"
"plspm","47","25291","3925"
"plsRbeta","13","26440","713"
"plsRcox","16","23924","1887"
"plsRglm","36","70676","18179"
"plumber","332","43865","4577"
"plumbr","119","4701","1560"
"plyr","880","85975","69217"
"pmd","59","9545","2318"
"pmhtutorial","32","8212","4272"
"pmpp","12","3519","219"
"pointblank","724","29870","11288"
"pointdexter","51","9495","2034"
"poio","121","5479","1630"
"poisDoubleSamp","8","1800","181"
"poLCA","22","5229","172"
"polidata","48","1035","409"
"pollen","67","5821","1761"
"pollstR","197","12563","6174"
"polmineR","609","145223","68354"
"polyclip","58","17269","5760"
"polyfreqs","61","2777","1372"
"polyglot","119","3981","479"
"polylabelr","54","4849","137"
"polypoly","21","3294","1130"
"polyRAD","308","24629","13674"
"polysat","122","21002","2311"
"polySegratioMM","17","248745","117847"
"polywog","109","9471","4557"
"pomp","2451","617091","247304"
"pool","118","8194","4564"
"popEpi","881","63027","26546"
"PopGenReport","68","9073","1903"
"popkin","91","7006","2594"
"poppr","3009","221279","125214"
"popprxl","46","642","133"
"poptrend","14","1779","277"
"portfolio","10","14528","29"
"PortfolioAnalytics","1170","2167384","201293"
"postal","204","1721610","1717786"
"postGIStools","44","2695","986"
"postlogic","10","663","92"
"POUMM","147","77219","26767"
"powdR","160","16367","10184"
"Power2Stage","142","12784","4737"
"powerEQTL","11","1867","153"
"poweRlaw","491","314301","288586"
"powerlmm","248","30548","7595"
"PowerTOST","272","29445","10420"
"PP","126","15956","4048"
"ppcSpatial","2","3826","5"
"PPforest","173","13812","8668"
"ppgmmga","42","7563","4423"
"ppitables","360","59943","13449"
"prais","36","1934","1073"
"praise","68","1161","158"
"praznik","117","4090","1279"
"prcbench","292","21474","7691"
"prcr","219","17615","7581"
"pre","159","22119","12386"
"precintcon","25","7237","938"
"precrec","362","63182","31031"
"predtoolsTS","2","3701","0"
"preference","181","13720","9348"
"PreKnitPostHTMLRender","18","1951","226"
"prepdat","111","6641","2139"
"preprocomb","42","5602","3207"
"preprosim","19","1906","489"
"preproviz","20","4521","1447"
"prereg","29","4558","2199"
"prettycode","23","952","92"
"prettydoc","73","11349","2709"
"prettymapr","55","3716","1083"
"prettyunits","38","2226","967"
"pricesensitivitymeter","18","3910","1091"
"primefactr","45","3768","600"
"PRIMME","760","456331","210571"
"PRIMsrc","725","223823","31861"
"princurve","239","6562","3855"
"prioritizr","388","242323","127946"
"prioritizrdata","65","9180","4780"
"prism","180","207893","4218"
"PRISM.forecast","19","39072","111"
"PRISMAstatement","67","18071","974"
"probably","117","5092","1758"
"processanimateR","93","61871","32822"
"processx","671","33802","14715"
"prodest","45","10358","3546"
"prodigenr","312","16771","6920"
"productplots","115","156078","52430"
"prof.tree","52","4157","3137"
"profile","75","3095","1357"
"profilr","22","3053","218"
"profmem","138","3884","1343"
"profr","80","2476","1195"
"profvis","514","43494","15203"
"progress","232","6576","3656"
"projector","105","3614","1459"
"projects","85","17381","11718"
"promises","95","14373","3204"
"promote","58","45241","725"
"PropCIs","38","4625","134"
"prophet","351","215035","88732"
"proportion","23","52815","9114"
"propr","614","105602","15133"
"PROscorer","20","3536","734"
"PROscorerTools","16","3723","963"
"prospectr","72","15066","6482"
"proteomics","6","1687","1"
"proto","100","76333","63925"
"protolite","120","4809","3021"
"protr","222","74630","23364"
"protViz","147","18876","5114"
"proustr","131","28081","4397"
"provParseR","128","10690","1577"
"provSummarizeR","46","2222","240"
"provViz","1","676","0"
"prozor","154","612665","511205"
"pryr","200","8839","2249"
"ps","350","66640","21835"
"PSCBS","695","79038","40449"
"pscl","30","17424","2190"
"pscore","45","44736","22595"
"psd","349","549703","34742"
"pse","33","4198","861"
"pseudorank","65","2719","768"
"psidR","130","14163","10767"
"PSLM2015","4","6592","1848"
"pssmooth","36","2979","1105"
"pstest","162","2921","1137"
"PSTR","102","7597","1837"
"psycho","413","56429","27869"
"psymonitor","111","14686","5479"
"ptstem","81","352243","10261"
"ptwikiwords","22","11452999","34"
"pubchunks","58","35142","1200"
"pubh","26","22626","7455"
"PubMedWordcloud","31","1387","469"
"pulsar","66","13227","7003"
"pumilioR","26","1254","632"
"purrr","998","67998","49648"
"purrrlyr","553","18003","14128"
"pushoverr","68","5656","3304"
"PVAClone","1092","94756","56092"
"PWFSLSmoke","24","2753","318"
"pwr","24","3386","891"
"pwrAB","14","1984","640"
"pxR","8","4140","7"
"pxweb","769","56766","10697"
"pyinit","10","7089","165"
"pzfx","49","7997","707"
"qCBA","88","17849","3058"
"qcc","40","34845","11852"
"qccrs","1","2978","0"
"QCSimulator","18","7890","653"
"qdap","2106","551710","269097"
"qdapDictionaries","90","18414","2878"
"qdapRegex","244","47822","16753"
"qdapTools","141","22111","3721"
"qicharts2","191","63651","34041"
"qiitr","71","5147","1855"
"qmethod","226","11630","4520"
"qoma.smuggler","23","4696","2396"
"QPot","285","25487","14971"
"qqplotr","131","18318","6483"
"QRAGadget","100","2946","855"
"qrencoder","25","8864","1907"
"qs","56","46073","1477"
"qsub","258","7608","4292"
"qtl","2940","1106715","720557"
"qtlcharts","1209","73084","51229"
"quadmesh","138","70210","24495"
"qualmap","128","9642","1075"
"qualpalr","335","41876","13239"
"qualvar","30","6739","177"
"Quandl","215","5249","2794"
"quantable","258","42663","1467"
"quantities","91","3430","529"
"quantmod","763","34867","14353"
"quantregForest","54","7872","2867"
"quantregRanger","17","1152","240"
"quantspec","113","43314","19166"
"QuantumClone","167","17646","9950"
"quarrint","6","2318","30"
"Quartet","547","742201","726098"
"questionr","450","56877","20897"
"queuecomputer","219","16974","7119"
"quickblock","37","4857","847"
"quickmatch","87","12726","5926"
"quickPlot","312","40302","12089"
"quokar","255","20787","12898"
"quRan","11","9554","58"
"qvcalc","26","1357","633"
"qwraps2","300","10975","3928"
"R.cache","156","9882","4172"
"R.devices","405","21738","12214"
"R.filesets","500","49328","27158"
"R.huge","57","11818","3969"
"R.matlab","340","28371","16175"
"R.oo","360","58495","29323"
"R.rsp","939","105992","65930"
"R.utils","822","115967","56334"
"r2d3","406","624297","441462"
"r2glmm","35","5783","3386"
"R2HTML","35","10128","826"
"R2SWF","74","59383","2117"
"R2ucare","85","19093","6212"
"R3port","23","4788","368"
"R4CouchDB","205","20235","13882"
"r4ss","1538","468448","85130"
"R6","456","26971","7739"
"r6extended","14","25653","24545"
"radarchart","213","225458","23983"
"radiant","214","53055","6885"
"radiant.basics","185","26896","14647"
"radiant.data","811","93616","25146"
"radiant.design","153","6027","2575"
"radiant.model","443","45814","23035"
"radiant.multivariate","184","15976","6872"
"radmixture","24","2197","248"
"RAdwords","159","158457","19438"
"RagGrid","166","56449","34370"
"ragt2ridges","83","20354","1902"
"rakeR","384","14877","5255"
"rAltmetric","165","4411","1504"
"Ramble","68","4731","2185"
"ramify","164","10033","3849"
"randgeo","73","10593","2280"
"randNames","79","9342","1055"
"randomForestExplainer","30","7689","1046"
"randomForestSRC","18","108658","40260"
"randomizr","281","46320","20985"
"randomNames","146","12707","2477"
"randomsearch","40","4547","1336"
"randquotes","31","593","183"
"rangeMapper","132","15972","10023"
"ranger","1138","51319","29855"
"RankingProject","45","5214","2836"
"RANN","161","14139","5821"
"RANN.L1","161","14139","5821"
"rapiclient","30","2847","700"
"rapidraker","153","13157","2014"
"rappdirs","92","2255","956"
"raptr","375","132254","92211"
"rare","8","2001","87"
"rARPACK","434","105982","11876"
"rasterVis","345","69953","8695"
"ratelimitr","96","2542","941"
"ratematrix","489","33429","12277"
"rationalfun","4","1025","18"
"rAvis","126","21828","7273"
"rayshader","105","8358","2169"
"rBayesianOptimization","27","996","122"
"rbefdata","204","7566","4802"
"rbhl","156","17587","13067"
"rbi","1124","26214","15222"
"rbin","90","11236","2602"
"rbison","258","22585","11065"
"Rbitcoin","71","13016","7669"
"RBitmoji","53","51891","628"
"RBMRB","115","21043","6062"
"rbokeh","680","113310","169438"
"Rborist","307","84959","59160"
"RBPcurve","36","2616","1534"
"rbraries","24","2126","252"
"Rcan","98","67760","57438"
"rcanvec","82","5572","2042"
"rcartocolor","66","2952","182"
"rCBA","88","57161","1395"
"rcc","77","88951","38218"
"Rcereal","67","793","176"
"RcextTools","16","5274","2634"
"rchess","162","49986","8103"
"rchie","173","21792","9931"
"rcites","431","29104","17292"
"rcitoid","18","2301","1239"
"Rclean","263","7659","3290"
"RClickhouse","305","129509","9330"
"rclimateca","80","6661","2090"
"rclipboard","21","328","122"
"RClone","113","17517","1249"
"RcmdrPlugin.temis","638","274127","20721"
"rcoreoa","88","4254","1464"
"rcosmo","484","1804307","1742045"
"Rcpp","4410","413402","233653"
"RcppAlgos","400","36238","17607"
"RcppCCTZ","112","22531","4262"
"RcppCWB","282","1173706","396466"
"RcppDist","71","10316","1589"
"RcppDynProg","111","41489","4708"
"RcppEnsmallen","20","48104","534"
"RcppGreedySetCover","15","718","63"
"RcppMLPACK","99","155952","68951"
"RcppNumerical","111","13995","2804"
"RcppParallel","491","535063","224922"
"RcppProgress","118","3054","1064"
"RcppThread","93","20391","5213"
"RcppTN","205","14580","1707"
"RcppXPtrUtils","19","1007","299"
"Rcrawler","199","14717","4029"
"RCriteo","21","930","133"
"rcrossref","609","84997","14217"
"rcrtan","124","5590","3217"
"RCrypto","9","231","27"
"RCzechia","186","316905","308511"
"Rd","37","5852","2364"
"Rd2roxygen","322","7427","2546"
"RDataCanvas","8","512","111"
"rdatacite","119","6493","2708"
"rdataretriever","265","3543","1607"
"rdbnomics","42","4071","1461"
"rddtools","416","42174","13625"
"rde","56","2242","814"
"rDEA","144","140423","136794"
"rdflib","197","36156","15004"
"rdfp","149","3463283","166594"
"rdian","20","857","175"
"RDieHarder","73","77388","9435"
"Rdimtools","131","52062","14469"
"rdist","50","5666","1482"
"Rdistance","438","34851","19973"
"rdiversity","1223","38246","24527"
"RDML","535","105274","73735"
"rDNAse","4","58099","6"
"rdnb","73","5177","2534"
"RDota2","41","6960","1938"
"rDotNet","96","507448","56738"
"rdoxygen","76","7993","1461"
"Rdpack","179","56154","22080"
"rdpla","122","8264","3904"
"rdryad","125","7441","2778"
"rdtLite","19","94398","52448"
"rdwd","315","1732199","1075522"
"re2r","411","66731","20457"
"reactR","189","41587","13142"
"read.dbc","27","2314","568"
"readabs","132","15998","6629"
"readbitmap","68","2952","458"
"readBrukerFlexData","51","5286","1727"
"readbulk","44","5039","835"
"readHAC","30","6466","292"
"readit","24","2485","569"
"readJDX","22","6249","975"
"readMzXmlData","36","3423","1534"
"readobj","87","4203","513"
"readr","1420","144103","43555"
"readsdmx","151","12175","4094"
"readstata13","603","17629","8767"
"readtext","437","13909337","21028"
"readxl","520","46333","27379"
"realestateDK","2","1223","102"
"rebird","366","14008","9193"
"rebus.base","46","4517","711"
"RECA","42","4840","949"
"recexcavAAR","222","11587","5658"
"rechonest","18","7903","408"
"recipes","726","215221","91730"
"reclin","59","8422","2371"
"reconstructr","63","3259","2038"
"recosystem","247","43685","16283"
"reda","397","39261","15011"
"redcapAPI","826","39271","12418"
"REDCapR","923","101114","66667"
"REddyProc","536","267775","191956"
"REddyProcNCDF","14","1899","688"
"redland","2649","148099","37274"
"redlistr","188","7488","4424"
"redux","159","22684","11208"
"refimpact","78","2741","1069"
"refinr","237","7821","4868"
"RefManageR","782","367486","333872"
"refnr","5","419","35"
"refset","61","5383","2536"
"regexSelect","25","697","108"
"regnet","44","4969","1547"
"RegSDC","56","3549","492"
"rehydratoR","57","653","196"
"reinforcedPred","17","1779","222"
"reinforcelearn","378","52253","37375"
"ReIns","587","38250","14131"
"reinstallr","33","729","99"
"relatable","66","4961","2030"
"RelimpPCR","69","1285","586"
"rematch","22","811","129"
"rematch2","63","3140","1071"
"remedy","176","17486","12945"
"remoter","571","14568","8214"
"remotes","548","30255","10351"
"REndo","268","54315","14954"
"rentrez","437","117019","17790"
"repec","31","1294","223"
"repfdr","30","7837","4636"
"replyr","689","78178","41088"
"RepoGenerator","53","1621","247"
"reportr","63","2069","422"
"reports","599","68550","19382"
"reprex","456","26365","20490"
"reproducible","1675","140354","90314"
"REPTILE","37","23633","836"
"reqres","65","4755","1457"
